p                   Static RunTime "hand opt" "" "" ""
1                   0.141  4.16    0.140    0.143     4.28       0.138
2                   0.038  4.19    0.039    0.038     4.30       0.038
3                   0.270  6.16    0.273    2.43      6.25       0.274
4                   0.055  6.16    0.054    2.43      6.25       0.055
33.5                1.82   5.49    1.83     1.87      5.69       1.80
1.612e7       1.82   5.54    1.84     1.83      5.67       1.81
